NPSN,Name,Level,Status,Location,Subdistrict,City,Province,Link
69767231,KB AL KHAIRIYAH PALANGAN JANGKAR,KB,SWASTA,Jl. PP Ar Romli RT.02 RW.03,Palangan Kec. Jangkar,Kab. Situbondo,Jawa Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/134579EE-9D98-41C1-99C4-E1A3E95974F3
69781562,SUKA JUANG,KB,SWASTA,RAJAWALI,BULULI Kec. Asparaga,Kab. Gorontalo,Gorontalo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1222A800-7156-43E9-B2E4-E1A52E6BC80D
69954523,KB AL-IKHLAS,KB,SWASTA,Jl. Ir. P. M. Noor,Rantau Balai Kec. Aranio,Kab. Banjar,Kalimantan Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/34DB5175-168E-4CB4-A519-E1A6FAA258F5
69958857,KB MATAHARIKU,KB,SWASTA,Jl. Peramuan Komp. Citra Bangun Persada ...,Landasan Ulin Tengah Kec. Liang Anggang,Kota Banjarbaru,Kalimantan Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2FFCD17E-73C3-4349-95BB-E1A74A1D6CD2
69949165,PAUD HIBATULLAH,KB,SWASTA,DUSUN KARYA BERSAMA RT.01/RW.03,Sei Bemban Kec. Kubu,Kab. Kuburaya,Kalimantan Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/86AAC7F4-3DA2-460E-988C-E1A8810B10A8
69845400,KB SIWI BINA BHAKTI,KB,SWASTA,PAGERHARJO,DS. PAGERHARJO Kec. Wedarijaksa,Kab. Pati,Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B0B823FC-0D77-475C-B511-E1A887DF7520
69940509,PAUD BUDI MAKMUR ,KB,SWASTA,DUSUN PANGKALUANG,Benua Baru Kec. Tempunak,Kab. Sintang,Kalimantan Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FE383FFB-690E-44A3-9541-E1A9EFA46DC3
69923537,KB HARAPAN KITA,KB,SWASTA,"Dusun Semadu, Desa Sebuduh",Sebuduh Kec. Kembayan,Kab. Sanggau,Kalimantan Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4F5118DA-E0CC-4DCF-8749-E1A9FA0FA8CE
69961553,KB TEHILA,KB,SWASTA,Jln. Raya Sorendiweri,Sorendidori Kec. Supiori Timur,Kab. Supiori,Papua,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A848ADE0-BC0F-458A-ABC7-E1AA17F92B81
69897095,KB AL HUDA,KB,SWASTA,Desa Margomulyo,Margomulyo Kec. Margomulyo,Kab. Bojonegoro,Jawa Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DE5EFE6D-473B-4B43-81EE-E1AA275D059B
